# Namecluster  #radius(arcsec) #velrms(km/s)	
2MASS-GC02 		
	7.69 	7.41 
	12.85 	6.98 
	15.54 	7.29 
	17.98 	7.69 
	21.35 	6.61 
	21.79 	7.66 
	25.53 	7.45 
	26.08 	6.86 
	29.46 	7.20 
	30.35 	6.83 
	33.40 	7.45 
	34.53 	7.42 
	38.22 	7.23 
	38.70 	7.47 
	42.72 	7.45 
	43.53 	6.87 
	47.05 	7.06 
	48.67 	7.07 
	51.76 	7.02 
	54.49 	6.75 
	56.65 	7.37 
	61.80 	7.13 
	66.60 	6.73 
	68.34 	7.20 
	74.32 	6.91 
	81.91 	6.81 
	89.91 	6.82 
	91.12 	6.70 
	104.37 	6.56 
	106.92 	6.71 
	122.36 	6.27 
	142.16 	6.13 
	167.90 	5.41 
	187.79 	5.25 
	216.24 	6.05 
	224.84 	5.24 
	262.48 	5.15 
	274.72 	5.16 
	300.51 	4.56 
	355.10 	4.50 
	499.22 	3.02 
 	882.34 	3.92 
 	0	0
 	
NGC_5927 		
	6.83 	6.39 
	12.64 	7.38 
	14.56 	6.00 
	21.58 	6.15 
	26.75 	5.68 
	31.08 	6.04 
	33.74 	6.65 
	35.97 	5.92 
	41.05 	5.88 
	45.76 	5.92 
	50.72 	5.76 
	52.50 	5.34 
	55.67 	5.61 
	60.88 	6.15 
	66.58 	5.88 
	72.16 	5.88 
	77.76 	4.94 
	78.17 	5.45 
	85.60 	5.29 
	93.63 	5.68 
	100.94 	5.25 
	106.57 	5.53 
	111.18 	5.58 
	152.28 	4.73 
	157.67 	5.34 
	201.85 	5.01 
	226.24 	4.42 
	280.64 	4.15 
	356.96 	3.75 
	466.45 	2.78 
 	589.38 	2.65 
 	0	0
 	
NGC_5946 		
	7.15 	4.92 
	56.90 	4.84 
	61.99 	4.62 
	123.25 	3.38 
 	190.98 	2.91
 	0	0
 	 
NGC_5986 		
	7.10 	7.89 
	13.97 	7.34 
	19.13 	7.84 
	24.19 	7.19 
	25.81 	7.02 
	28.05 	7.39 
	31.79 	7.29 
	35.95 	7.19 
	39.84 	6.95 
	43.84 	7.19 
	44.24 	7.01 
	48.11 	6.85 
	52.34 	6.75 
	56.98 	6.45 
	61.39 	6.85 
	63.54 	7.15 
	66.61 	6.25 
	71.33 	6.20 
	77.26 	6.30 
	87.92 	5.85 
	93.08 	4.65 
	95.36 	5.89 
	128.10 	4.84 
	186.12 	4.63 
	202.50 	5.37 
 	296.04 	3.26 
 	0	0
 	
NGC_6093_(M-80) 		
	6.52 	10.73 
	13.62 	10.63 
	19.67 	8.94 
	22.57 	8.88 
	27.33 	9.02 
	32.33 	8.67 
	39.27 	8.13 
	47.53 	7.83 
	55.48 	7.15 
	70.09 	7.12 
	94.56 	6.48 
	138.14 	6.10 
	167.89 	5.54 
 	245.61 	3.20 
 	0	0
 	
NGC_6101 		
	14.46 	3.49 
	30.00 	3.77 
	42.48 	3.39 
	44.46 	3.56 
	55.49 	3.42 
	67.33 	3.22 
	78.94 	3.49 
	88.75 	3.22 
	106.35 	3.42 
	118.85 	2.21 
 	137.74 	2.90 
 	0	0
 	
NGC_6121_(M-4) 		
	13.50 	5.11 
	29.64 	4.88 
	46.10 	4.93 
	46.97 	4.84 
	62.55 	4.79 
	79.68 	4.76 
	89.34 	4.74 
	106.73 	4.98 
	108.87 	4.45 
	119.73 	4.60 
	145.54 	4.08 
	156.61 	4.41 
	170.78 	4.00 
	192.76 	4.25 
	196.66 	4.05 
	226.24 	4.27 
	226.33 	4.02 
	257.27 	4.03 
	259.42 	4.35 
	291.97 	3.91 
	293.46 	4.03 
	328.00 	3.95 
	333.30 	4.18 
	363.49 	3.72 
	376.76 	3.58 
	402.29 	3.62 
	431.16 	3.57 
	446.50 	3.41 
	494.95 	3.33 
	498.05 	3.32 
	551.00 	3.05 
	580.63 	3.31 
	622.81 	3.08 
	717.85 	2.86 
	839.68 	2.82 
 	998.32 	2.68 
 	0	0
 	
NGC_6139 		
	64.60 	6.49 
	79.11 	6.72 
	143.73 	5.17 
	209.11 	5.26 
 	263.06 	4.03 
	0	0
 	
NGC_6144 		
	14.36 	3.79 
	29.63 	3.98 
	45.66 	3.55 
	61.04 	3.83 
	78.44 	3.59 
	120.23 	3.04 
 	138.93 	2.56 
  	0	0
 	
NGC_6171_(M-107)  		
	7.04 	3.50 
	20.11 	3.80 
	21.44 	3.84 
	36.58 	3.58 
	49.82 	4.21 
	50.47 	3.50 
	63.31 	3.60 
	81.74 	3.47 
	82.03 	3.36 
	88.50 	3.62 
	123.39 	3.53 
	151.90 	2.87 
	173.00 	3.02 
	242.30 	2.64 
	256.30 	2.92 
	390.94 	2.59 
 	544.67 	2.08 
  	0	0
 	
NGC_6205_(M-13)		
	6.87 	9.11 
	14.17 	8.65 
	20.12 	8.90 
	22.32 	7.68 
	25.22 	8.58 
	29.27 	8.76 
	33.58 	8.79 
	37.25 	8.93 
	41.17 	8.69 
	45.07 	8.44 
	48.68 	8.02 
	52.62 	7.81 
	56.24 	7.98 
	59.80 	8.02 
	63.08 	7.74 
	67.18 	7.70 
	71.12 	7.81 
	75.37 	7.91 
	79.91 	7.88 
	84.69 	7.77 
	90.39 	7.70 
	90.95 	6.93 
	100.16 	7.32 
	172.89 	5.98 
	176.65 	6.11 
	233.45 	6.04 
	283.15 	5.54 
	293.87 	5.85 
	338.85 	5.35 
	454.51 	4.16 
	490.00 	4.22 
 	820.44 	3.07
  	0	0
 	 
NGC_6218_(M-12) 		
	9.86 	5.16 
	10.42 	4.21 
	20.09 	4.67 
	20.20 	4.63 
	27.09 	4.79 
	28.93 	4.46 
	32.86 	4.84 
	36.59 	4.55 
	38.31 	4.76 
	43.52 	4.54 
	44.33 	4.87 
	48.25 	4.50 
	52.37 	4.19 
	53.44 	4.40 
	58.69 	4.48 
	61.66 	4.54 
	66.83 	3.85 
	74.56 	3.95 
	82.13 	4.29 
	83.51 	4.34 
	92.71 	4.09 
	109.76 	4.13 
	128.58 	3.41 
	146.27 	4.03 
	173.95 	3.29 
	187.44 	3.09 
	200.98 	3.61 
	228.78 	3.44 
	259.52 	3.24 
	303.65 	2.74 
	353.26 	3.11 
	355.96 	2.96 
	434.41 	2.60 
 	539.35 	2.06 
  	0	0
 	 
NGC_6229 		
 	83.65 	3.19
  	0	0
 	  
NGC_6235 		
	49.06 	4.09 
	80.98 	2.31 
 	115.15 	2.83 
  	0	0
 	 
NGC_6254_(M-10)		
	7.85 	6.45 
	10.75 	6.37 
	16.24 	5.88 
	18.11 	5.76 
	22.29 	5.59 
	23.61 	6.08 
	27.74 	6.34 
	28.59 	6.15 
	32.73 	5.52 
	34.20 	6.13 
	37.25 	5.74 
	39.45 	5.76 
	41.66 	5.74 
	44.51 	6.27 
	46.05 	6.02 
	49.26 	5.88 
	50.34 	5.82 
	53.83 	5.45 
	55.63 	5.26 
	58.30 	5.52 
	63.36 	6.10 
	67.03 	5.90 
	68.47 	5.72 
	73.29 	5.50 
	79.47 	5.79 
	85.08 	5.32 
	85.72 	5.36 
	96.02 	5.07 
	114.83 	5.13 
	143.25 	4.96 
	181.31 	5.01 
	231.43 	4.22 
	281.32 	4.22 
	358.42 	3.61 
	448.08 	2.73 
 	574.92 	2.75 
  	0	0
 	 
NGC_6256 		
	4.05 	5.84 
	8.27 	6.32 
	12.86 	5.77 
	17.64 	5.42 
	22.83 	5.22 
	28.68 	5.08 
	30.05 	5.93 
	34.23 	5.08 
	39.52 	5.18 
	47.77 	3.80 
	48.06 	4.91 
	56.19 	4.57 
	66.35 	4.22 
	80.62 	4.02 
 	96.53 	4.09 
  	0	0
 	 
NGC_6266_(M-62) 		
	0.52 	16.20 
	2.08 	15.20 
	3.12 	18.66 
	4.16 	14.80 
	5.97 	15.03 
	6.07 	14.71 
	6.50 	14.90 
	7.96 	14.69 
	9.10 	15.00 
	9.27 	16.11 
	11.77 	14.17 
	12.07 	16.07 
	15.90 	14.42 
	16.19 	13.64 
	18.74 	15.05 
	20.08 	13.39 
	20.80 	14.20 
	22.14 	14.37 
	23.72 	13.47 
	25.88 	14.40 
	27.13 	12.12 
	27.32 	13.85 
	29.09 	13.94 
	30.46 	11.90 
	31.96 	13.83 
	33.65 	12.66 
	34.83 	13.86 
	36.90 	12.91 
	37.55 	14.17 
	40.07 	12.91 
	40.44 	13.23 
	43.35 	12.16 
	43.74 	13.20 
	46.86 	11.92 
	47.07 	13.31 
	50.21 	12.06 
	50.58 	13.34 
	51.16 	13.84 
	54.22 	12.58 
	54.32 	12.36 
	58.20 	12.92 
	62.48 	12.22 
	63.22 	11.12 
	66.92 	11.96 
	70.47 	11.89 
	71.58 	12.39 
	76.36 	12.52 
	82.30 	11.74 
	91.58 	11.31 
	103.56 	11.15 
	105.94 	9.87 
	119.38 	10.63 
 	261.26 	6.71 
  	0	0
 	
NGC_6273_(M-19)  		
	41.90 	10.00 
	77.76 	9.04 
	121.19 	9.71 
	140.46 	8.69 
	187.59 	6.28 
	200.26 	7.04 
	273.41 	6.75 
	351.87 	5.51 
 	378.94 	4.88 
  	0	0
 	
NGC_6284 		
	53.30 	5.12 
	73.88 	3.10 
 	132.56 	3.69 
  	0	0
 	
NGC_6287 		
	75.78 	4.75 
	117.67 	4.03 
 	136.54 	3.77 
  	0	0
 	
NGC_6293 		
	5.76 	7.56 
	13.38 	7.15 
	22.23 	7.22 
	29.53 	5.47 
	44.00 	6.58 
	79.61 	4.83 
 	120.10 	4.62 
  	0	0
 	
NGC_6304 		
	6.64 	5.02 
	13.93 	5.10 
	21.61 	5.54 
	27.73 	5.68 
	27.80 	5.48 
	35.55 	5.34 
	44.07 	5.25 
	55.28 	5.05 
	56.82 	4.93 
	73.94 	4.64 
	84.03 	3.80 
	102.23 	4.76 
	162.44 	3.75 
 	177.87 	3.42
  	0	0
 	 
NGC_6316 		
	43.79 	6.09 
	44.19 	7.48 
	88.51 	5.91 
 	122.59 	4.72 
  	0	0
 	
NGC_6325 		
	4.73 	4.93 
	9.51 	5.43 
	10.81 	5.25 
	16.95 	4.68 
	22.77 	4.75 
	28.78 	4.54 
	32.98 	4.11 
	35.52 	4.50 
	43.34 	4.07 
	49.83 	5.24 
	62.36 	3.75 
 	102.60 	3.32 
  	0	0
 	
NGC_6333_(M-9) 		
	13.16 	8.97 
	113.91 	5.87 
	180.08 	4.62 
	193.20 	4.98 
 	231.13 	4.74
  	0	0
 	 
NGC_6341_(M-92) 		
	3.24 	7.78 
	7.81 	8.02 
	12.09 	8.34 
	13.23 	7.81 
	15.52 	8.26 
	18.95 	8.50 
	22.32 	7.98 
	25.43 	7.70 
	28.79 	7.90 
	32.31 	7.54 
	35.45 	8.02 
	39.37 	7.46 
	42.83 	7.78 
	46.91 	7.46 
	50.57 	7.09 
	54.43 	6.62 
	55.07 	6.81 
	59.56 	7.25 
	63.67 	6.93 
	66.60 	6.05 
	68.70 	6.45 
	74.56 	6.97 
	80.20 	6.21 
	88.98 	6.00 
	94.99 	6.14 
	100.76 	6.37 
	137.85 	4.94 
	182.82 	4.50 
	183.76 	5.21 
	236.19 	4.44 
	321.80 	3.16 
	389.89 	3.03 
 	570.84 	3.10 
  	0	0
 	
NGC_6342 		
	3.24 	4.48 
	6.14 	4.67 
	8.25 	5.57 
	8.50 	4.60 
	12.57 	4.06 
	17.22 	3.95 
	22.99 	3.84 
	28.12 	3.80 
	29.87 	4.20 
	33.34 	3.74 
	33.83 	3.80 
	40.23 	3.49 
	50.40 	3.27 
	65.49 	3.19 
 	95.25 	2.64 
  	0	0
 	
NGC_6352 		
	11.69 	3.15 
	23.13 	3.47 
	36.71 	3.34 
	51.05 	3.05 
	63.72 	3.15 
	63.74 	3.86 
	65.78 	3.21 
	76.89 	3.36 
